for per
with con
yes si
how come
has ha
more più
also anche
her sua
and ed
but ma
after dopo
two due
state stato
part parte
years anni
one uno
city città
while mentre
movie film
during durante
series serie
then poi
when quando
alone solo
until fino
three tre
tea the
versus contro
season stagione
were erano
end fine
great grande
century secolo
war guerra
always sempre
second seconda
church chiesa
furthermore inoltre
life vita
approximately circa
beyond oltre
under sotto
family famiglia
every ogni
national nazionale
already già
towards verso
period periodo
without senza
have aver
home casa
you vi
squad squadra
own proprio
championship campionato
title titolo
done fatto
he lui
year anno
everything tutto
way modo
history storia
inhabitants abitanti
four quattro
does fa
instead invece
death morte
however tuttavia
indeed infatti
number numero
someone alcune
center centro
north nord
find trova
son figlio
king re
general generale
published pubblicato
particular particolare
course corso
father padre
region regione
society società
basis base
form forma
south sud
system sistema
little poco
species specie
case caso
province provincia
term termine
success successo
principal principale
territory territorio
often spesso
today oggi
respect rispetto
point punto
role ruolo
can possono
example esempio
kingdom regno
subsequently successivamente
version versione
large gran
career carriera
line linea
field campo
mostly soprattutto
work lavoro
almost quasi
times volte
production produzione
day giorno
body corpo
government governo
well ben
country paese
never mai
president presidente
area zona
population popolazione
despite nonostante
study studio
start partire
guy tipo
level livello
position posizione
battle battaglia
big grandi
moment momento
gender genere
tournament torneo
grade grado
victory vittoria
project progetto
service servizio
product prodotto
presence presenza
days giorni
did fece
cup coppa
single singolo
five cinque
central centrale
greatest maggior
less meno
activities attività
she lei
mother madre
game gioco
brings porta
meters metri
school scuola
possible possibile
republic repubblica
prize premio
floor piano
district distretto
anyway comunque
language lingua
soccer calcio
wife moglie
men uomini
given dato
building palazzo
points punti
six sei
music musica
immediately subito
daughter figlia
construction costruzione
international internazionale
river fiume
brother fratello
competition gara
woman donna
here qui
many molte
style stile
months mesi
development sviluppo
numerous numerosi
book libro
main principali
total totale
community comunità
county contea
villages paesi
structure struttura
politics politica
song canzone
theater teatro
return ritorno
edition edizione
castle castello
teams squadre
training formazione
reality realtà
sons figli
division divisione
musical musicale
program programma
law legge
1st 1º
probably probabilmente
official ufficiale
loud forte
millions milioni
called chiamato
games giochi
date data
phase fase
members membri
classification classifica
department dipartimento
even pari
class classe
died morì
disk disco
much tanto
superior superiore
check controllo
origin origine
out fuori
hero protagonista
west ovest
matches partite
net rete
few pochi
character personaggio
written scritto
historical storico
former ex
short breve
force forza
sea mare
local locale
surface superficie
several numerose
light luce
average media
appointed nominato
decides decide
unit unità
past passato
last ultimi
command comando
member membro
movement movimento
novel romanzo
bishop vescovo
singer cantante
again nuovamente
template modello
troops truppe
property proprietà
tall alto
characters personaggi
currently attualmente
process processo
category categoria
court corte
motor motore
western occidentale
location località
museum museo
side lato
square piazza
director direttore
female femminile
occasion occasione
data dati
month mese
voice voce
left sinistra
being essendo
girl ragazza
problems problemi
diocese diocesi
said detto
succeeded riuscì
double doppio
women donne
space spazio
company compagnia
shift turno
speed velocità
considered considerato
scene scena
high alta
elements elementi
contract contratto
size dimensioni
original originale
seven sette
direction direzione
decisive decise
completely completamente
similar simile
championships campionati
salt sale
over sopra
call chiamata
possibility possibilità
function funzione
value valore
scope scopo
color colore
beaten battuto
situation situazione
man uomo
guide guida
golden d'oro
real reale
market mercato
hours ore
ship nave
night notte
report rapporto
cases casi
load carica
mainly principalmente
length lunghezza
result risultato
player giocatore
played giocato
although sebbene
rather piuttosto
couple coppia
features caratteristiche
culture cultura
obtain ottenere
officers ufficiali
eight otto
low basso
made realizzato
comprehends comprende
relation relazione
defence difesa
fourth quarto
becomes diventa
who chi
episodes episodi
reference riferimento
perhaps forse
capacity capacità
soon presto
prince principe
tour giro
white bianco
social sociale
text testo
show mostra
distributed distribuito
defeat sconfitta
due dovuto
information informazioni
locals locali
popular popolare
inferior inferiore
conditions condizioni
minister ministro
magazine rivista
technique tecnica
tower torre
reach raggiungere
southern meridionale
of dell
marriage matrimonio
takes prende
founded fondata
election elezioni
husband marito
sense senso
park parco
results risultati
see vede
tradition tradizione
countryside campagna
person persona
complex complesso
channel canale
goal gol
products prodotti
format formato
subsequent successivi
television televisiva
carried portato
star stella
quality qualità
acting facente
age età
remains rimane
nature natura
voyage viaggio
figure figura
choice scelta
networks reti
races gare
unique unico
ten dieci
effect effetti
fire fuoco
better meglio
late tardi
cooperation collaborazione
duke duca
village villaggio
directly direttamente
personnel personale
rest resto
sector settore
promotion promozione
artists artisti
black nero
police polizia
room camera
obtained ottenuto
players giocatori
appears appare
civil civile
politic politico
participated partecipato
distance distanza
old vecchio
press pressi
order ordine
lonely sola
particularly particolarmente
collection raccolta
ships navi
navy marina
forms forme
belonging appartenente
previous precedenti
weapons armi
tracks brani
red rosso
wins vince
seasons stagioni
difference differenza
songs canzoni
discovers scopre
events eventi
medal medaglia
material materiale
children bambini
appearances presenze
municipal comunale
bridge ponte
siblings fratelli
built costruito
band fascia
path percorso
male maschile
captain capitano
islands isole
elected eletto
commander comandante
characterized caratterizzata
behind dietro
soldiers soldati
master maestro
lesser minore
drift deriva
trial prova
birth nascita
fraction frazione
could potrebbe
sweater maglia
natural naturale
around attorno
friend amico
holder titolare
improve migliore
sample campione
dedicated dedicato
exchange cambio
section sezione
baby bambino
peace pace
lines linee
represents rappresenta
chapel cappella
sister sorella
churches chiese
get ottiene
friends amici
constituted costituito
future futuro
contain contiene
